Volatility 3 Framework 2.3.0

Cache	FileObject	FileName	Result
DataSectionObject	0xb78f1301f2f0	NTUSER.DAT	file.0xb78f1301f2f0.0xb78f130b6810.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f1301f2f0	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f1301f2f0	NTUSER.DAT	file.0xb78f1301f2f0.0xb78f130b6810.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f1301f2f0	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f1301f2f0	NTUSER.DAT	file.0xb78f1301f2f0.0xb78f130b6810.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f1301f2f0	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
SharedCacheMap	0xb78f10d0c880	Amcache.hve.tmp	Error dumping file
DataSectionObject	0xb78f1301f2f0	NTUSER.DAT	file.0xb78f1301f2f0.0xb78f130b6810.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f1301f2f0	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f1301f2f0	NTUSER.DAT	file.0xb78f1301f2f0.0xb78f130b6810.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f1301f2f0	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f1301f2f0	NTUSER.DAT	file.0xb78f1301f2f0.0xb78f130b6810.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f1301f2f0	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f1301f2f0	NTUSER.DAT	file.0xb78f1301f2f0.0xb78f130b6810.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f1301f2f0	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f1301a340	UsrClass.dat	file.0xb78f1301a340.0xb78f130b5550.DataSectionObject.UsrClass.dat.dat
SharedCacheMap	0xb78f1301a340	UsrClass.dat	Error dumping file
DataSectionObject	0xb78f1301a340	UsrClass.dat	file.0xb78f1301a340.0xb78f130b5550.DataSectionObject.UsrClass.dat.dat
SharedCacheMap	0xb78f1301a340	UsrClass.dat	Error dumping file
DataSectionObject	0xb78f1301a340	UsrClass.dat	file.0xb78f1301a340.0xb78f130b5550.DataSectionObject.UsrClass.dat.dat
SharedCacheMap	0xb78f1301a340	UsrClass.dat	Error dumping file
DataSectionObject	0xb78f1301f2f0	NTUSER.DAT	file.0xb78f1301f2f0.0xb78f130b6810.DataSectionObject.NTUSER.DAT.dat
SharedCacheMap	0xb78f1301f2f0	NTUSER.DAT	Error dumping file
DataSectionObject	0xb78f1301a340	UsrClass.dat	file.0xb78f1301a340.0xb78f130b5550.DataSectionObject.UsrClass.dat.dat
SharedCacheMap	0xb78f1301a340	UsrClass.dat	Error dumping file
DataSectionObject	0xb78f1301a340	UsrClass.dat	file.0xb78f1301a340.0xb78f130b5550.DataSectionObject.UsrClass.dat.dat
SharedCacheMap	0xb78f1301a340	UsrClass.dat	Error dumping file
DataSectionObject	0xb78f1301a340	UsrClass.dat	file.0xb78f1301a340.0xb78f130b5550.DataSectionObject.UsrClass.dat.dat
SharedCacheMap	0xb78f1301a340	UsrClass.dat	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f12726400	settings.dat	Error dumping file
SharedCacheMap	0xb78f12726400	settings.dat	Error dumping file
ImageSectionObject	0xb78f0c303800	ntdll.dll	file.0xb78f0c303800.0xb78f0c3338a0.ImageSectionObject.ntdll.dll.img
ImageSectionObject	0xb78f0c315d40	smss.exe	file.0xb78f0c315d40.0xb78f0c4514d0.ImageSectionObject.smss.exe.img
DataSectionObject	0xb78f0d574a30	locale.nls	Error dumping file
ImageSectionObject	0xb78f0d7f6660	CoreUIComponents.dll	file.0xb78f0d7f6660.0xb78f0d7f1a20.ImageSectionObject.CoreUIComponents.dll.img
ImageSectionObject	0xb78f0d575840	csrsrv.dll	file.0xb78f0d575840.0xb78f0dea7010.ImageSectionObject.csrsrv.dll.img
ImageSectionObject	0xb78f0d574bc0	csrss.exe	file.0xb78f0d574bc0.0xb78f0df11d70.ImageSectionObject.csrss.exe.img
ImageSectionObject	0xb78f0d5743f0	winsrv.dll	file.0xb78f0d5743f0.0xb78f0dea9670.ImageSectionObject.winsrv.dll.img
ImageSectionObject	0xb78f0d5775f0	sxssrv.dll	file.0xb78f0d5775f0.0xb78f0eb9ca10.ImageSectionObject.sxssrv.dll.img
ImageSectionObject	0xb78f0ef03200	sxs.dll	file.0xb78f0ef03200.0xb78f0eeaea20.ImageSectionObject.sxs.dll.img
ImageSectionObject	0xb78f0d576330	winsrvext.dll	file.0xb78f0d576330.0xb78f0d50ebd0.ImageSectionObject.winsrvext.dll.img
ImageSectionObject	0xb78f0d577140	basesrv.dll	file.0xb78f0d577140.0xb78f0c32d340.ImageSectionObject.basesrv.dll.img
ImageSectionObject	0xb78f0c7bcbb0	combase.dll	file.0xb78f0c7bcbb0.0xb78f0d4f4820.ImageSectionObject.combase.dll.img
ImageSectionObject	0xb78f0c738bb0	KernelBase.dll	file.0xb78f0c738bb0.0xb78f0d176460.ImageSectionObject.KernelBase.dll.img
ImageSectionObject	0xb78f0c738a20	gdi32full.dll	file.0xb78f0c738a20.0xb78f0d4f2c60.ImageSectionObject.gdi32full.dll.img
ImageSectionObject	0xb78f0c738700	ucrtbase.dll	file.0xb78f0c738700.0xb78f0d4fc820.ImageSectionObject.ucrtbase.dll.img
ImageSectionObject	0xb78f0c738ed0	msvcp_win.dll	file.0xb78f0c738ed0.0xb78f0d55e930.ImageSectionObject.msvcp_win.dll.img
ImageSectionObject	0xb78f0c739e70	bcrypt.dll	file.0xb78f0c739e70.0xb78f0d562580.ImageSectionObject.bcrypt.dll.img
ImageSectionObject	0xb78f0c7bd9c0	win32u.dll	file.0xb78f0c7bd9c0.0xb78f0caf2460.ImageSectionObject.win32u.dll.img
ImageSectionObject	0xb78f0c738d40	bcryptprimitives.dll	file.0xb78f0c738d40.0xb78f0d502ce0.ImageSectionObject.bcryptprimitives.dll.img
ImageSectionObject	0xb78f0c7bd6a0	cfgmgr32.dll	file.0xb78f0c7bd6a0.0xb78f0d4f5820.ImageSectionObject.cfgmgr32.dll.img
ImageSectionObject	0xb78f0d4d1570	user32.dll	file.0xb78f0d4d1570.0xb78f0d560d40.ImageSectionObject.user32.dll.img
ImageSectionObject	0xb78f0c7bd510	rpcrt4.dll	file.0xb78f0c7bd510.0xb78f0d4fa820.ImageSectionObject.rpcrt4.dll.img
ImageSectionObject	0xb78f0c7bdce0	sechost.dll	file.0xb78f0c7bdce0.0xb78f0c087820.ImageSectionObject.sechost.dll.img
ImageSectionObject	0xb78f0d4d1a20	kernel32.dll	file.0xb78f0d4d1a20.0xb78f0d408420.ImageSectionObject.kernel32.dll.img
ImageSectionObject	0xb78f0d4d1250	gdi32.dll	file.0xb78f0d4d1250.0xb78f0d4df4a0.ImageSectionObject.gdi32.dll.img
ImageSectionObject	0xb78f0c303800	ntdll.dll	file.0xb78f0c303800.0xb78f0c3338a0.ImageSectionObject.ntdll.dll.img
DataSectionObject	0xb78f0d574a30	locale.nls	Error dumping file
ImageSectionObject	0xb78f0c738700	ucrtbase.dll	file.0xb78f0c738700.0xb78f0d4fc820.ImageSectionObject.ucrtbase.dll.img
ImageSectionObject	0xb78f0ef2d670	ntmarta.dll	file.0xb78f0ef2d670.0xb78f0ef422b0.ImageSectionObject.ntmarta.dll.img
ImageSectionObject	0xb78f0ecfd6b0	wininit.exe	file.0xb78f0ecfd6b0.0xb78f0eb9d010.ImageSectionObject.wininit.exe.img
ImageSectionObject	0xb78f0ef91720	fwbase.dll	file.0xb78f0ef91720.0xb78f0ef4cc80.ImageSectionObject.fwbase.dll.img
ImageSectionObject	0xb78f0d660be0	wtsapi32.dll	file.0xb78f0d660be0.0xb78f0d645a20.ImageSectionObject.wtsapi32.dll.img
ImageSectionObject	0xb78f0ef2ede0	FirewallAPI.dll	file.0xb78f0ef2ede0.0xb78f0ef4c270.ImageSectionObject.FirewallAPI.dll.img
ImageSectionObject	0xb78f0ecfee20	userenv.dll	file.0xb78f0ecfee20.0xb78f0ece7ae0.ImageSectionObject.userenv.dll.img
ImageSectionObject	0xb78f0ef28b70	IPHLPAPI.DLL	file.0xb78f0ef28b70.0xb78f0df97010.ImageSectionObject.IPHLPAPI.DLL.img
ImageSectionObject	0xb78f0ef2e7a0	profext.dll	file.0xb78f0ef2e7a0.0xb78f0ef42010.ImageSectionObject.profext.dll.img
ImageSectionObject	0xb78f0ef2de40	winsta.dll	file.0xb78f0ef2de40.0xb78f0dfc3990.ImageSectionObject.winsta.dll.img
ImageSectionObject	0xb78f0ef28080	mswsock.dll	file.0xb78f0ef28080.0xb78f0df92660.ImageSectionObject.mswsock.dll.img
ImageSectionObject	0xb78f0ef294d0	dnsapi.dll	file.0xb78f0ef294d0.0xb78f0df96a60.ImageSectionObject.dnsapi.dll.img
ImageSectionObject	0xb78f0ecfc0d0	wininitext.dll	file.0xb78f0ecfc0d0.0xb78f0ee5ebe0.ImageSectionObject.wininitext.dll.img
ImageSectionObject	0xb78f0ecfc3f0	sspicli.dll	file.0xb78f0ecfc3f0.0xb78f0ece7840.ImageSectionObject.sspicli.dll.img
